product_number,department_desc,avg_elasticity,total_orders,avg_discount
12,MENS OWN BRAND BOTTOMS,1.566005712322132,286,35.592592592592595
21,MENS OWN BRAND BOTTOMS,87931062334058.64,2305,11.522534562211982
22,MENS OWN BRAND BOTTOMS,32029664609188.05,2115,12.726451612903226
23,MENS OWN BRAND BOTTOMS,264917625139441.06,608,20.40445425210084
24,MENS OWN BRAND BOTTOMS,1.1094792061459973,1577,21.804511436090223
39,MENS BRANDED FOOTWEAR,1801439850948198.5,150,7.7700000000000005
44,MENS OWN BRAND BOTTOMS,206666732126324.2,3341,11.240977706766918
47,MENS OWN BRAND TOPS,121718908847851.73,305,35.02826265637065
48,MENS OWN BRAND BOTTOMS,31476771589144.758,1965,18.95111520737327
50,MENS OWN BRAND BOTTOMS,1.0290326851675449,905,17.80000044
51,MENS OWN BRAND BOTTOMS,1.3568647361305655,2599,20.25610854679803
64,MENS OWN BRAND TOPS,2.2587631143802156,163,21.822936507936507
65,MENS OWN BRAND BOTTOMS,1.6752270800872489,3550,44.82778981401617
69,MENS OWN BRAND BOTTOMS,135354087161411.25,1997,45.80707268149883
76,MENS OWN BRAND TOPS,118515779667644.8,1104,29.14101509022556
83,MENS OWN BRAND TOPS,214457125112882.75,189,20.73047619047619
90,MENS OWN BRAND TOPS,1.7747803512830995,244,23.52941182352941
92,MENS OWN BRAND TOPS,1.623685617358901,170,32.11571428571428
97,MENS OWN BRAND TOPS,1.5202265372168293,178,12.857142857142858
100,MENS OWN BRAND TOPS,1.2730904889052812,1025,13.482142857142858
105,MENS OWN BRAND OUTERWEAR,3.7084391827970453,278,19.703525474654377
106,MENS OWN BRAND OUTERWEAR,2.5569730095662986,191,40.6053800455927
132,MENS OWN BRAND OUTERWEAR,1.9648178059431065,3813,30.37000473732719
135,MENS OWN BRAND OUTERWEAR,1.7531086655275314,2863,28.88458243665768
139,MENS OWN BRAND OUTERWEAR,7.021489186777497,1004,25.54524631147541
143,MENS OWN BRAND OUTERWEAR,102354536985693.14,233,27.168575893939394
152,MENS OWN BRAND OUTERWEAR,1.0214963765166403,1273,36.22564407728337
156,MENS OWN BRAND TOPS,519646110850441.94,269,16.92945112637363
163,MENS OWN BRAND TOPS,2.8167436452320316,497,41.64892877142857
164,MENS OWN BRAND TOPS,1.2681802224148417,598,22.018710032258063
170,MENS OWN BRAND TOPS,258270946372501.72,435,19.808571873015875
173,MENS OWN BRAND TOPS,348987424999189.8,2448,17.966298974025975
177,MENS OWN BRAND TOPS,44916219687870.61,1611,19.8245797254306
179,MENS OWN BRAND TOPS,32682145336506.793,2625,25.95250685175202
182,MENS OWN BRAND TOPS,1.10112162381901,1470,21.68360004
190,MENS OWN BRAND TOPS,252217721066894.97,965,34.33539170506912
191,MENS OWN BRAND TOPS,89745644748325.66,2107,26.622608782608697
192,MENS OWN BRAND TOPS,1.018930709351213,2630,18.01682817191283
195,MENS OWN BRAND TOPS,1.301917776908139,3757,21.625028791428573
199,MENS OWN BRAND TOPS,643371375338642.9,1594,18.521786
200,MENS OWN BRAND TOPS,321685687669321.94,1462,11.537040994897959
206,MENS OWN BRAND TOPS,285942833483841.44,1470,15.206632891156463
208,MENS OWN BRAND TOPS,1.0054779943411123,1553,30.588235470588234
237,MENS BRANDED CLOTHING,1.3688455988456032,220,33.91746031746032
245,MENS BRANDED CLOTHING,1.9398497596522266,777,36.602695884792624
255,MENS OWN BRAND TOPS,1.818898955531776,445,12.069828731428572
258,MENS OWN BRAND TOPS,136931906878577.11,2006,24.412337082892417
259,MENS OWN BRAND TOPS,187649984473769.25,513,26.242083583333336
262,MENS OWN BRAND TOPS,1.0279896596026006,2016,33.614250049999995
275,MENS BRANDED FOOTWEAR,59.6878262423587,1235,13.555205845036319
276,MENS BRANDED FOOTWEAR,109.99369649525923,1844,19.425193755447943
302,MENS OWN BRAND OUTERWEAR,84973577874915.83,484,47.09086253369272
306,MENS OWN BRAND KNITWEAR,2.2193592695270374,540,41.30679365079365
316,MENS OWN BRAND OUTERWEAR,1.350099206349207,165,31.02040823469388
317,MENS OWN BRAND OUTERWEAR,46.62786596119855,222,43.41061250680272
318,MENS OWN BRAND OUTERWEAR,72638703667274.12,191,50.68762674423964
320,MENS OWN BRAND OUTERWEAR,130424561389404.56,6871,8.036415509433962
321,MENS OWN BRAND OUTERWEAR,126435576727285.52,7100,11.057566433862435
329,MENS BRANDED CLOTHING,145277407334532.2,402,21.192534868663596
331,MENS BRANDED CLOTHING,1.3609929096631166,428,23.748733706180342
364,MENS BRANDED CLOTHING,1.3617112106216633,365,23.21774216129032
366,MENS BRANDED CLOTHING,1.1516333692259866,2344,26.876607160714286
391,MENS OWN BRAND OUTERWEAR,1.3079911252358987,515,20.76923076923077
397,MENS BRANDED CLOTHING,3.3097170155117444,334,19.173225806451608
415,MENS BRANDED CLOTHING,1.1083976250488001,715,36.326474815668206
420,MENS BRANDED FOOTWEAR,321685687669321.0,193,23.66142857142857
430,MENS OWN BRAND OUTERWEAR,314204625165384.94,210,33.54664454152824
440,MENS OWN BRAND KNITWEAR,1.2025774274794585,3856,22.458539142857145
446,MENS OWN BRAND KNITWEAR,1.7207066185355264,1763,22.087142948051948
448,MENS OWN BRAND KNITWEAR,4.556452277249482,2413,13.72018646583851
451,MENS OWN BRAND KNITWEAR,1.0165638060858815,2344,16.115279633540375
