department_desc,avg_elasticity,total_orders,avg_discount,elastic_products_count,type,product_number
MENS BRANDED CLOTHING,17.21567313923866,367619,22.1779588669044,1419.0,department,
MENS BRANDED FOOTWEAR,17.332533384604293,19805,19.63964147702116,197.0,department,
MENS OWN BRAND BOTTOMS,40.48048634906394,129355,26.633735234414274,240.0,department,
MENS OWN BRAND DENIM,25.566299767070483,114695,25.527971433927075,119.0,department,
MENS OWN BRAND FOOTWEAR,17.679310579314606,100944,28.93467176202143,234.0,department,
MENS OWN BRAND KNITWEAR,13.989579780802602,66443,25.62823081271627,155.0,department,
MENS OWN BRAND OUTERWEAR,20.329092529708213,51037,31.26921262946132,118.0,department,
MENS OWN BRAND TOPS,20.162479366156084,275596,23.4806594498868,548.0,department,
MENS OWN BRAND FOOTWEAR,2.672098577420498,1206,7.022285714285714,,product,1.0
MENS OWN BRAND FOOTWEAR,9.088035798398483,0,18.46333333333333,,product,2.0
MENS OWN BRAND FOOTWEAR,1.3508386272079334,15,36.67,,product,3.0
MENS OWN BRAND BOTTOMS,3.307636487518994,1308,21.258064516129032,,product,5.0
MENS OWN BRAND BOTTOMS,1.4111093426706987,312,17.741935483870968,,product,6.0
MENS OWN BRAND BOTTOMS,1.0000001443452669,0,1e-06,,product,9.0
MENS OWN BRAND BOTTOMS,9.574128646918119,1495,14.784193548387098,,product,11.0
MENS OWN BRAND BOTTOMS,19.790690272924643,126,33.396415770609316,,product,12.0
MENS OWN BRAND BOTTOMS,38.24271079590229,1126,40.0,,product,18.0
MENS OWN BRAND BOTTOMS,2.051282051282051,295,10.71,,product,19.0
MENS OWN BRAND BOTTOMS,6.357363401684789,838,27.50506912442396,,product,20.0
MENS OWN BRAND BOTTOMS,4.144989811323574,428,13.01997311827957,,product,22.0
MENS OWN BRAND BOTTOMS,2.591663902708679,523,30.535714285714285,,product,24.0
MENS OWN BRAND BOTTOMS,4.119409276415802,276,20.973118279569892,,product,25.0
MENS OWN BRAND BOTTOMS,3.608751769526536,485,15.239220430107528,,product,27.0
MENS OWN BRAND BOTTOMS,2.837395206309724,733,10.28725806451613,,product,28.0
MENS OWN BRAND BOTTOMS,1.17048738200732,150,10.96774193548387,,product,29.0
MENS OWN BRAND BOTTOMS,7.228961408754789,220,14.784946236559142,,product,30.0
MENS OWN BRAND BOTTOMS,2.8511184608272004,212,14.784946236559142,,product,31.0
MENS OWN BRAND BOTTOMS,1.9656739408989956,527,19.262672811059907,,product,32.0
MENS OWN BRAND BOTTOMS,3.315508021390372,107,4.973225806451612,,product,33.0
MENS OWN BRAND BOTTOMS,3.266816143497755,129,4.973225806451612,,product,34.0
MENS OWN BRAND BOTTOMS,2.6698564593301413,137,4.973225806451612,,product,35.0
MENS OWN BRAND BOTTOMS,3.2342519685039344,74,4.973225806451612,,product,36.0
MENS OWN BRAND BOTTOMS,29.653674921127255,1624,27.604540598290598,,product,37.0
MENS BRANDED CLOTHING,5.494505494505498,160,60.0,,product,40.0
MENS BRANDED CLOTHING,2.8585959406247317,568,69.35483870967741,,product,41.0
MENS OWN BRAND BOTTOMS,1.1512420009182371,103,21.559354838709677,,product,43.0
MENS OWN BRAND BOTTOMS,10.260712370381258,1060,21.800552861952863,,product,44.0
MENS OWN BRAND BOTTOMS,2.2609337234006803,120,26.580733486943164,,product,45.0
MENS OWN BRAND BOTTOMS,8.614085601510402,880,27.27047619047619,,product,46.0
MENS OWN BRAND BOTTOMS,1.3323275232827752,233,14.135833333333334,,product,48.0
MENS OWN BRAND BOTTOMS,3.983289853624388,1406,47.06620967741936,,product,49.0
MENS OWN BRAND BOTTOMS,14.452563935632716,629,27.926960573476702,,product,50.0
MENS OWN BRAND BOTTOMS,31.54914412434002,1275,40.11076923076923,,product,51.0
MENS OWN BRAND BOTTOMS,13.846472161495008,2542,8.088550724637681,,product,52.0
