week,department_desc,product_number,orders_x,discount,pct_change_discount,pct_change_orders,elasticity,orders_y,orders_smoothed,seasonal,trend,residual
2022-01-03/2022-01-09,MENS BRANDED CLOTHING,2986,16,8.571428571428571,8571427.57142857,3.0,3.5000004083333814e-07,,,,,
2022-01-03/2022-01-09,MENS OWN BRAND TOPS,76,20,2.04,2039999.0000000002,4.0,1.960785274894742e-06,,,,,
2022-01-03/2022-01-09,MENS OWN BRAND TOPS,204,89,4.285714285714286,4285713.285714285,2.423076923076923,5.653847473077231e-07,,,,,
2022-01-03/2022-01-09,MENS OWN BRAND TOPS,205,149,4.285714285714286,4285713.285714285,9.642857142857142,2.2500005250001226e-06,,,,,
2022-01-03/2022-01-09,MENS OWN BRAND TOPS,1570,55,2.04,2039999.0000000002,4.5,2.205883434256585e-06,,,,,
2022-01-03/2022-01-09,MENS OWN BRAND TOPS,1653,48,1.9057142857142857,1905713.2857142857,2.6923076923076925,1.4127559022072835e-06,,,,,
2022-01-03/2022-01-09,MENS OWN BRAND TOPS,1657,107,1.9057142857142857,1905713.2857142857,6.133333333333334,3.2183924934093547e-06,,,,,
2022-01-03/2022-01-09,MENS OWN BRAND TOPS,1659,80,1.9057142857142857,1905713.2857142857,4.0,2.0989516261365356e-06,,,,,
2022-01-03/2022-01-09,MENS OWN BRAND TOPS,1661,45,1.9057142857142857,1905713.2857142857,2.0,1.0494758130682678e-06,,,,,
2022-01-03/2022-01-09,MENS OWN BRAND TOPS,3904,95,12.985714285714286,0.4285714285714286,8.5,19.833333333333332,,,,,
2022-01-03/2022-01-09,MENS OWN BRAND TOPS,3941,8,67.14285714285714,0.11904761904761907,1.0,8.399999999999999,,,,,
2022-01-03/2022-01-09,MENS OWN BRAND TOPS,4012,15,26.639999999999997,0.1542461005199307,0.5,3.2415730337078643,,,,,
2022-01-10/2022-01-16,MENS BRANDED CLOTHING,109,8,28.0,-0.234375,-0.33333333333333337,1.4222222222222223,,,,,
2022-01-10/2022-01-16,MENS BRANDED CLOTHING,228,21,17.142857142857142,17142856.14285714,0.3125,1.8229167730034785e-08,,,,,
2022-01-10/2022-01-16,MENS BRANDED CLOTHING,229,0,4.571428571428571,-0.8571428571428572,-1.0,1.1666666666666665,,,,,
2022-01-10/2022-01-16,MENS BRANDED CLOTHING,233,4,2.857142857142857,-0.8571428571428572,-0.9,1.05,,,,,
2022-01-10/2022-01-16,MENS BRANDED CLOTHING,234,0,2.857142857142857,-0.8571428571428572,-1.0,1.1666666666666665,,,,,
2022-01-10/2022-01-16,MENS BRANDED CLOTHING,236,5,2.857142857142857,-0.8571428571428572,-0.6666666666666667,0.7777777777777778,,,,,
2022-01-10/2022-01-16,MENS BRANDED CLOTHING,244,15,30.4,-0.18404907975460127,-0.4,2.173333333333333,,,,,
2022-01-10/2022-01-16,MENS BRANDED CLOTHING,246,124,7.142857142857143,7142856.142857144,2.5428571428571427,3.560000498400069e-07,,,,,
2022-01-10/2022-01-16,MENS BRANDED CLOTHING,251,102,4.952857142857143,-0.8571428571428572,-0.5233644859813085,0.6105919003115265,,,,,
2022-01-10/2022-01-16,MENS BRANDED CLOTHING,253,67,24.285714285714285,-0.5142857142857142,-0.4070796460176991,0.7915437561455261,,,,,
2022-01-10/2022-01-16,MENS BRANDED CLOTHING,329,5,2.857142857142857,-0.9090950411344939,-0.9038461538461539,0.9942262502259502,,,,,
2022-01-10/2022-01-16,MENS BRANDED CLOTHING,330,40,22.857142857142858,-0.4285714285714286,-0.6,1.4,,,,,
2022-01-10/2022-01-16,MENS BRANDED CLOTHING,332,8,2.857142857142857,-0.9285714285714286,-0.7647058823529411,0.8235294117647058,,,,,
2022-01-10/2022-01-16,MENS BRANDED CLOTHING,333,41,22.857142857142858,-0.4285714285714286,-0.4305555555555556,1.0046296296296295,,,,,
2022-01-10/2022-01-16,MENS BRANDED CLOTHING,335,114,37.142857142857146,0.8571428571428572,0.5616438356164384,0.6552511415525114,,,,,
2022-01-10/2022-01-16,MENS BRANDED CLOTHING,344,10,2.857142857142857,-0.8571428571428572,-0.33333333333333337,0.3888888888888889,,,,,
2022-01-10/2022-01-16,MENS BRANDED CLOTHING,349,10,2.857142857142857,-0.8571428571428572,-0.6666666666666667,0.7777777777777778,,,,,
2022-01-10/2022-01-16,MENS BRANDED CLOTHING,350,39,31.428571428571427,-0.2142857142857143,-0.025000000000000022,0.11666666666666677,,,,,
2022-01-10/2022-01-16,MENS BRANDED CLOTHING,354,15,1.4285714285714286,-0.9285714285714286,-0.53125,0.5721153846153846,,,,,
2022-01-10/2022-01-16,MENS BRANDED CLOTHING,355,0,2.857142857142857,-0.8571428571428572,-1.0,1.1666666666666665,,,,,
2022-01-10/2022-01-16,MENS BRANDED CLOTHING,356,136,42.857142857142854,42857141.85714286,7.5,1.7500000408333344e-07,,,,,
2022-01-10/2022-01-16,MENS BRANDED CLOTHING,357,30,10.0,9999999.0,1.3076923076923075,1.3076924384615514e-07,,,,,
2022-01-10/2022-01-16,MENS BRANDED CLOTHING,360,8,5.714285714285714,-0.8571428571428572,-0.6799999999999999,0.7933333333333332,,,,,
2022-01-10/2022-01-16,MENS BRANDED CLOTHING,364,59,17.142857142857142,17142856.14285714,1.8095238095238093,1.0555556171296332e-07,,,,,
2022-01-10/2022-01-16,MENS BRANDED CLOTHING,366,17,3.5714285714285716,-0.9107142857142857,-0.7638888888888888,0.8387799564270152,,,,,
2022-01-10/2022-01-16,MENS BRANDED CLOTHING,367,31,2.857142857142857,-0.8571428571428572,-0.4363636363636364,0.509090909090909,,,,,
2022-01-10/2022-01-16,MENS BRANDED CLOTHING,369,15,26.16857142857143,-0.2467308166790032,-0.8026315789473684,3.253065789473684,,,,,
2022-01-10/2022-01-16,MENS BRANDED CLOTHING,372,4,1.4285714285714286,-0.9642857142857143,-0.8181818181818181,0.8484848484848484,,,,,
2022-01-10/2022-01-16,MENS BRANDED CLOTHING,374,8,1.4285714285714286,-0.9682539682539683,-0.8518518518518519,0.8797814207650273,,,,,
2022-01-10/2022-01-16,MENS BRANDED CLOTHING,377,13,1.4285714285714286,-0.9285714285714286,-0.0714285714285714,0.07692307692307689,,,,,
2022-01-10/2022-01-16,MENS BRANDED CLOTHING,577,10,25.98,0.21256167488998545,1.0,4.704516938519445,,,,,
2022-01-10/2022-01-16,MENS BRANDED CLOTHING,623,0,2.857142857142857,-0.8571428571428572,-1.0,1.1666666666666665,,,,,
2022-01-10/2022-01-16,MENS BRANDED CLOTHING,634,26,21.632857142857144,-0.31171310394982044,-0.1875,0.6015146544181977,,,,,
2022-01-10/2022-01-16,MENS BRANDED CLOTHING,635,5,4.285714285714286,-0.8636425617017408,-0.9180327868852459,1.0629777035030943,,,,,
2022-01-10/2022-01-16,MENS BRANDED CLOTHING,636,16,6.122857142857143,-0.8571428571428572,-0.4285714285714286,0.5,,,,,
2022-01-10/2022-01-16,MENS BRANDED CLOTHING,637,15,2.857142857142857,-0.8571428571428572,-0.25,0.29166666666666663,,,,,
2022-01-10/2022-01-16,MENS BRANDED CLOTHING,639,16,4.321428571428571,-0.8571428571428572,-0.7241379310344828,0.8448275862068965,,,,,
2022-01-10/2022-01-16,MENS BRANDED CLOTHING,644,0,1.4285714285714286,-0.9523809523809523,-1.0,1.05,,,,,
2022-01-10/2022-01-16,MENS BRANDED CLOTHING,650,0,13.707142857142857,-0.3214285714285714,-1.0,3.1111111111111116,,,,,
2022-01-10/2022-01-16,MENS BRANDED CLOTHING,653,84,10.714285714285714,10714284.714285715,2.230769230769231,2.0820514763760866e-07,,,,,
2022-01-10/2022-01-16,MENS BRANDED CLOTHING,655,4,4.328571428571428,-0.8571428571428572,-0.8888888888888888,1.037037037037037,,,,,
2022-01-10/2022-01-16,MENS BRANDED CLOTHING,657,8,2.8885714285714283,-0.8571428571428572,-0.33333333333333337,0.3888888888888889,,,,,
2022-01-10/2022-01-16,MENS BRANDED CLOTHING,660,4,18.571428571428573,-0.0714285714285714,-0.75,10.500000000000005,,,,,
2022-01-10/2022-01-16,MENS BRANDED CLOTHING,662,0,1.4285714285714286,-0.9528524280999529,-1.0,1.049480455220188,,,,,
2022-01-10/2022-01-16,MENS BRANDED CLOTHING,663,4,13.324285714285713,-0.34103433658329807,-0.8095238095238095,2.3737310959187896,,,,,
2022-01-10/2022-01-16,MENS BRANDED CLOTHING,665,8,2.857142857142857,-0.8571428571428572,-0.5555555555555556,0.6481481481481481,,,,,
2022-01-10/2022-01-16,MENS BRANDED CLOTHING,667,15,26.419999999999998,-0.593162919618109,-0.25,0.4214693665628246,,,,,
2022-01-10/2022-01-16,MENS BRANDED CLOTHING,733,12,27.142857142857142,0.3571428571428572,2.0,5.599999999999999,,,,,
2022-01-10/2022-01-16,MENS BRANDED CLOTHING,755,0,12.857142857142858,-0.3571428571428571,-1.0,2.8000000000000003,,,,,
2022-01-10/2022-01-16,MENS BRANDED CLOTHING,758,5,20.0,-0.3500162495937601,-0.75,2.142757660167131,,,,,
2022-01-10/2022-01-16,MENS BRANDED CLOTHING,759,0,10.0,-0.67500812479688,-1.0,1.4814636494944633,,,,,
2022-01-10/2022-01-16,MENS BRANDED CLOTHING,837,113,21.428571428571427,-0.2857142857142858,-0.5108225108225108,1.7878787878787874,,,,,
2022-01-10/2022-01-16,MENS BRANDED CLOTHING,840,54,21.428571428571427,-0.2857142857142858,-0.5423728813559322,1.898305084745762,,,,,
2022-01-10/2022-01-16,MENS BRANDED CLOTHING,846,16,1.4285714285714286,-0.9285714285714286,-0.5897435897435898,0.6351084812623274,,,,,
2022-01-10/2022-01-16,MENS BRANDED CLOTHING,848,5,1.4285714285714286,-0.9285714285714286,-0.8,0.8615384615384616,,,,,
2022-01-10/2022-01-16,MENS BRANDED CLOTHING,849,25,17.142857142857142,17142856.14285714,1.7777777777777777,1.0370370975308678e-07,,,,,
2022-01-10/2022-01-16,MENS BRANDED CLOTHING,857,77,36.42857142857143,-0.19047619047619047,-0.3418803418803419,1.794871794871795,,,,,
2022-01-10/2022-01-16,MENS BRANDED CLOTHING,1052,12,18.3,0.6471647164716474,2.0,3.0904033379694007,,,,,
2022-01-10/2022-01-16,MENS BRANDED CLOTHING,1053,17,27.301428571428573,1.4573743088594577,0.3076923076923077,0.21112785220778865,,,,,
2022-01-10/2022-01-16,MENS BRANDED CLOTHING,1054,22,25.0,0.02923013585837797,0.8333333333333333,28.509389671361465,,,,,
2022-01-10/2022-01-16,MENS BRANDED CLOTHING,1057,10,23.12,-0.268486711263786,-0.7777777777777778,2.896894874672652,,,,,
2022-01-10/2022-01-16,MENS BRANDED CLOTHING,1061,21,7.142857142857143,7142856.142857144,0.3125,4.3750006125000854e-08,,,,,
2022-01-10/2022-01-16,MENS BRANDED CLOTHING,1065,10,14.285714285714286,14285713.285714287,1.0,7.000000490000033e-08,,,,,
2022-01-10/2022-01-16,MENS BRANDED CLOTHING,1748,0,1.4285714285714286,-0.9591836734693877,-1.0,1.0425531914893618,,,,,
2022-01-10/2022-01-16,MENS BRANDED CLOTHING,1749,10,5.714285714285714,-0.8571428571428572,-0.863013698630137,1.0068493150684932,,,,,
2022-01-10/2022-01-16,MENS BRANDED CLOTHING,1753,185,10.714285714285714,10714284.714285715,0.9270833333333333,8.652778585370445e-08,,,,,
2022-01-10/2022-01-16,MENS BRANDED CLOTHING,1754,10,4.761428571428572,-0.8571428571428571,-0.8765432098765432,1.0226337448559673,,,,,
2022-01-10/2022-01-16,MENS BRANDED CLOTHING,1755,84,8.574285714285713,-0.5712857142857144,-0.045454545454545414,0.07956534588192495,,,,,
2022-01-10/2022-01-16,MENS BRANDED CLOTHING,1756,85,23.428571428571427,-0.4675324675324676,-0.19047619047619047,0.40740740740740733,,,,,
2022-01-10/2022-01-16,MENS BRANDED CLOTHING,1757,20,22.857142857142858,-0.4285714285714286,-0.7333333333333334,1.711111111111111,,,,,
2022-01-10/2022-01-16,MENS BRANDED CLOTHING,1758,32,21.428571428571427,-0.2857142857142858,-0.5223880597014925,1.828358208955223,,,,,
2022-01-10/2022-01-16,MENS BRANDED CLOTHING,1760,9,5.397142857142858,-0.8571428571428572,-0.7567567567567568,0.8828828828828829,,,,,
2022-01-10/2022-01-16,MENS BRANDED CLOTHING,1762,40,25.714285714285715,25714284.714285716,1.6666666666666665,6.481481733539103e-08,,,,,
2022-01-10/2022-01-16,MENS BRANDED CLOTHING,1763,24,5.714285714285714,-0.8571428571428572,-0.25,0.29166666666666663,,,,,
2022-01-10/2022-01-16,MENS BRANDED CLOTHING,1765,26,4.285714285714286,-0.8571428571428572,-0.8354430379746836,0.9746835443037974,,,,,
2022-01-10/2022-01-16,MENS BRANDED CLOTHING,1768,21,5.714285714285714,-0.8571428571428572,-0.8444444444444444,0.9851851851851852,,,,,
2022-01-10/2022-01-16,MENS BRANDED CLOTHING,1769,73,3.5714285714285716,-0.8571428571428571,-0.2912621359223301,0.33980582524271846,,,,,
2022-01-10/2022-01-16,MENS BRANDED CLOTHING,1771,168,21.714285714285715,-0.3214285714285714,-0.32258064516129037,1.0035842293906811,,,,,
2022-01-10/2022-01-16,MENS BRANDED CLOTHING,1773,15,14.697142857142856,-0.5170179803765083,-0.5,0.9670843548533549,,,,,
2022-01-10/2022-01-16,MENS BRANDED CLOTHING,1775,26,10.0,-0.5,-0.23529411764705888,0.47058823529411775,,,,,
2022-01-10/2022-01-16,MENS BRANDED CLOTHING,1779,5,10.0,-0.5,-0.5454545454545454,1.0909090909090908,,,,,
2022-01-10/2022-01-16,MENS BRANDED CLOTHING,1786,5,1.4285714285714286,-0.9586520570601612,-0.9431818181818182,0.983862509067383,,,,,
2022-01-10/2022-01-16,MENS BRANDED CLOTHING,1787,99,22.142857142857142,-0.36734693877551017,-0.28260869565217395,0.7693236714975847,,,,,
2022-01-10/2022-01-16,MENS BRANDED CLOTHING,1789,90,23.077142857142857,-0.44445972900474584,-0.4,0.8999690498297741,,,,,
2022-01-10/2022-01-16,MENS BRANDED CLOTHING,1791,20,1.4285714285714286,-0.9523809523809523,-0.6296296296296297,0.6611111111111112,,,,,
2022-01-10/2022-01-16,MENS BRANDED CLOTHING,1792,12,10.714285714285714,10714284.714285715,2.0,1.866666840888905e-07,,,,,
2022-01-10/2022-01-16,MENS BRANDED CLOTHING,1793,117,32.07714285714286,0.6038571428571431,2.1621621621621623,3.5805855536160704,,,,,
2022-01-10/2022-01-16,MENS BRANDED CLOTHING,1796,75,5.714285714285714,-0.8571428571428572,-0.48630136986301364,0.5673515981735159,,,,,
2022-01-10/2022-01-16,MENS BRANDED CLOTHING,1797,71,1.4285714285714286,-0.9523809523809523,-0.5170068027210885,0.5428571428571429,,,,,
2022-01-10/2022-01-16,MENS BRANDED CLOTHING,1902,12,45.75,0.05432098765432092,0.5,9.204545454545466,,,,,
2022-01-10/2022-01-16,MENS BRANDED CLOTHING,1922,20,10.0,-0.6785599485695917,-0.33333333333333337,0.49123638086215077,,,,,
2022-01-10/2022-01-16,MENS BRANDED CLOTHING,1923,0,10.0,-0.6785599485695917,-1.0,1.4737091425864521,,,,,
2022-01-10/2022-01-16,MENS BRANDED CLOTHING,1924,12,15.15857142857143,-0.5127428020388483,-0.25,0.48757388500806026,,,,,
2022-01-10/2022-01-16,MENS BRANDED CLOTHING,1925,15,10.0,-0.7777777777777778,-0.42307692307692313,0.543956043956044,,,,,
2022-01-10/2022-01-16,MENS BRANDED CLOTHING,1926,5,13.571428571428571,-0.3214285714285714,-0.6666666666666667,2.0740740740740744,,,,,
2022-01-10/2022-01-16,MENS BRANDED CLOTHING,1929,0,10.0,-0.6764801035263669,-1.0,1.4782400765184123,,,,,
2022-01-10/2022-01-16,MENS BRANDED CLOTHING,1930,30,15.129999999999999,-0.5105143966353931,-0.1428571428571429,0.27982980264349094,,,,,
2022-01-10/2022-01-16,MENS BRANDED CLOTHING,1931,26,22.857142857142858,0.1428571428571428,0.625,4.375000000000002,,,,,
