date_of_order,orders,discount,is_holiday,is_weekend,is_summer,is_winter,discount_applied,discount_range,pct_change_discount,pct_change_orders,elasticity,elasticity_clipped
2022-01-03,24.731810939989376,0.1829271608617849,0,3737,0,1,True,0-10%,0.0,0.0,0.0,0.0
2022-01-17,45.28836962294211,0.15033896649929085,1,3305,0,1,True,0-10%,-0.18222501788957535,-0.36209746792833897,1.9870897647421972,1.9870897647421972
2022-01-24,55.789697291556024,0.17071961678734818,0,3598,0,1,True,0-10%,0.1355646560744015,0.23187692019043582,1.710452612834245,1.710452612834245
2022-01-31,66.17684545937334,0.1558140602206178,0,3671,0,1,True,0-10%,-0.08731015712914258,0.18618398507405853,-2.132443591856893,-2.132443591856893
2022-02-07,72.99734466277216,0.1769644754755667,0,3872,0,1,True,0-10%,0.13574137805665254,0.10306473746298472,0.7592728093564071,0.7592728093564071
2022-02-14,82.92511949017525,0.19656833744226154,0,4121,0,1,True,0-10%,0.11077851593667187,0.13600186244125312,1.2276916809302676,1.2276916809302676
2022-02-21,82.31279872543813,0.17915859323847555,1,4137,0,1,True,0-10%,-0.08856840542236255,-0.007384020288444315,0.08337081663863773,0.08337081663863773
2022-03-07,66.51832182687201,0.13801030193489544,0,4288,0,0,True,0-10%,-0.21829691863093936,-0.3344562641473341,1.5321162856759234,1.5321162856759234
2022-03-21,62.03770578863515,0.17384414503306622,0,3702,0,0,True,0-10%,0.27365970109132154,0.2242402012156779,0.8194125781817173,0.8194125781817173
2022-03-28,79.63197026022304,0.21961485860633326,0,3948,0,0,True,0-10%,0.26328590798707174,0.2836059820060437,1.0771787376480846,1.0771787376480846
2022-04-04,53.6542750929368,0.18485572863908578,0,3399,0,0,True,0-10%,-0.15827312499631152,-0.3262219317492181,2.061132815547937,2.061132815547937
2022-04-11,64.42326075411577,0.20377818098515912,0,3985,0,0,True,0-10%,0.10236335376447947,0.20071067296176426,1.960766871937052,1.960766871937052
2022-04-18,62.580456718003184,0.19475790360484194,0,4166,0,0,True,0-10%,-0.04426517763927884,-0.0286046377432837,0.6462108426715379,0.6462108426715379
2022-04-25,60.44503451938396,0.1688433523040668,0,4182,0,0,True,0-10%,-0.13306033193577083,-0.03412282860513072,0.25644629100731575,0.25644629100731575
2022-05-02,67.5554965480616,0.18309167129573517,0,4365,0,0,True,0-10%,0.08438779968078847,0.11763517194116924,1.3939831632788713,1.3939831632788713
2022-05-09,64.91927774827403,0.2257962358551728,0,4441,0,0,True,0-10%,0.23324143723861668,-0.039023009740030035,-0.16730736271406058,-0.16730736271406058
2022-05-16,62.528412108337754,0.19199774080649842,0,4411,0,0,True,0-10%,-0.14968582146937537,-0.03682828464615562,0.24603722840703665,0.24603722840703665
2022-05-23,58.482209240573546,0.1762481344877906,0,4363,0,0,True,0-10%,-0.08203016479543268,-0.06470982920138268,0.7888540680462662,0.7888540680462662
2022-05-30,60.85395645246946,0.17337253293806038,1,4272,0,0,True,0-10%,-0.01631564247807349,0.04055502079511819,-2.4856527010578886,-2.4856527010578886
2022-06-06,62.96972915560276,0.19075802152226384,0,4599,1,0,True,0-10%,0.10027821760217726,0.03476803853806687,0.34671576110375524,0.34671576110375524
2022-06-13,92.21561338289962,0.15667881883176776,0,4708,1,0,True,0-10%,-0.1786514790756446,0.4644435448503863,-2.599718442038376,-2.599718442038376
2022-06-20,80.65586829527349,0.12143371629336604,1,4746,1,0,True,0-10%,-0.2249512908075072,-0.12535561672867157,0.557256712236159,0.557256712236159
2022-06-27,96.06797663303239,0.22570026960134001,0,4685,1,0,True,0-10%,0.858629353449756,0.1910847736625514,0.22254628600201123,0.22254628600201123
2022-07-04,92.58576739245883,0.23454885375603532,1,4839,1,0,True,0-10%,0.03920502252976821,-0.03624734654165929,-0.9245587479037113,-0.9245587479037113
2022-07-11,93.2251725969198,0.2411168999766945,0,4763,1,0,True,0-10%,0.02800289200087458,0.006906085270650841,0.24662043014825583,0.24662043014825583
2022-07-18,97.61178969729154,0.24472358134290656,0,4903,1,0,True,0-10%,0.014958227177608308,0.047053998165691446,3.145693510801123,3.145693510801123
2022-07-25,102.70313329792883,0.2557618888329704,0,4851,1,0,True,0-10%,0.045105205757008715,0.052159105128860794,1.1563876996782352,1.1563876996782352
2022-08-01,83.16887944768985,0.23749365252589086,0,4667,1,0,True,0-10%,-0.07142673363274199,-0.19020114793939713,2.6628845848861413,2.6628845848861413
2022-08-08,81.01964949548592,0.22179118920876176,0,4795,1,0,True,0-10%,-0.06611740208685057,-0.025841756754168,0.39084652358576877,0.39084652358576877
2022-08-15,97.36802973977694,0.23268801952947285,0,4926,1,0,True,0-10%,0.049131033381377476,0.2017829050865234,4.107035639169087,4.107035639169087
2022-08-22,90.02496016994158,0.2387334486835652,0,4898,1,0,True,0-10%,0.025980835482278142,-0.07541561218256387,-2.902740069079219,-2.902740069079219
2022-08-29,91.84652150823153,0.27120581995800797,0,4774,1,0,True,0-10%,0.1360193615662295,0.020233958835986776,0.148757931245947,0.148757931245947
2022-09-05,82.38767923526287,0.2426362524471451,1,4858,1,0,True,0-10%,-0.10534275228786172,-0.10298530763759994,0.9776211974809641,0.9776211974809641
2022-09-12,67.91715347849177,0.16365085043301314,0,4948,0,0,True,0-10%,-0.32553009378241127,-0.17563943894389422,0.5395490072917621,0.5395490072917621
2022-09-19,66.49442379182156,0.14891944305743443,0,4957,0,0,True,0-10%,-0.0900172980256444,-0.02094801701488802,0.23271101748599793,0.23271101748599793
2022-09-26,71.63887413701539,0.2122886693221878,0,4955,0,0,True,0-10%,0.4255268819418929,0.07736664297294915,0.1818137613771574,0.1818137613771574
2022-10-10,96.43441317047264,0.23965989526866424,1,5036,0,0,True,0-10%,0.036830860922959285,-0.10991618057938346,-2.984350021285137,-2.984350021285137
2022-10-17,65.86192246415294,0.17882420624685727,0,4978,0,0,True,0-10%,-0.2538417575189573,-0.3170288458361328,1.2489231438308828,1.2489231438308828
