product_number,department_desc,discount,date_of_order,orders
1584,MENS OWN BRAND BOTTOMS,3.85,2022-01-01,0
1584,MENS OWN BRAND BOTTOMS,3.85,2022-01-02,24
1584,MENS OWN BRAND BOTTOMS,3.85,2022-01-03,4
1584,MENS OWN BRAND BOTTOMS,3.85,2022-01-04,4
1584,MENS OWN BRAND BOTTOMS,3.85,2022-01-05,19
1584,MENS OWN BRAND BOTTOMS,3.85,2022-01-06,39
1584,MENS OWN BRAND BOTTOMS,3.85,2022-01-07,14
1584,MENS OWN BRAND BOTTOMS,3.85,2022-01-08,19
1584,MENS OWN BRAND BOTTOMS,3.85,2022-01-09,34
1584,MENS OWN BRAND BOTTOMS,13.46,2022-01-10,19
1584,MENS OWN BRAND BOTTOMS,13.46,2022-01-11,24
1584,MENS OWN BRAND BOTTOMS,13.46,2022-01-17,24
1584,MENS OWN BRAND BOTTOMS,13.46,2022-01-18,14
1584,MENS OWN BRAND BOTTOMS,13.46,2022-01-19,29
1584,MENS OWN BRAND BOTTOMS,13.46,2022-01-20,0
1584,MENS OWN BRAND BOTTOMS,13.46,2022-01-21,19
1584,MENS OWN BRAND BOTTOMS,13.46,2022-01-22,29
1584,MENS OWN BRAND BOTTOMS,13.46,2022-01-23,19
1584,MENS OWN BRAND BOTTOMS,13.46,2022-01-24,24
1584,MENS OWN BRAND BOTTOMS,0.0,2022-01-30,34
1584,MENS OWN BRAND BOTTOMS,32.69,2022-01-31,59
1584,MENS OWN BRAND BOTTOMS,32.69,2022-02-01,14
1584,MENS OWN BRAND BOTTOMS,32.69,2022-02-02,34
1584,MENS OWN BRAND BOTTOMS,32.69,2022-02-03,69
1584,MENS OWN BRAND BOTTOMS,32.69,2022-02-04,19
1584,MENS OWN BRAND BOTTOMS,32.69,2022-02-05,49
1584,MENS OWN BRAND BOTTOMS,32.69,2022-02-06,39
1584,MENS OWN BRAND BOTTOMS,27.88,2022-02-07,29
1584,MENS OWN BRAND BOTTOMS,27.88,2022-02-08,14
1584,MENS OWN BRAND BOTTOMS,33.04,2022-02-09,24
1584,MENS OWN BRAND BOTTOMS,33.04,2022-02-10,24
1584,MENS OWN BRAND BOTTOMS,33.04,2022-02-11,34
1584,MENS OWN BRAND BOTTOMS,33.04,2022-02-12,54
1584,MENS OWN BRAND BOTTOMS,33.04,2022-02-13,49
1584,MENS OWN BRAND BOTTOMS,7.14,2022-02-14,34
1584,MENS OWN BRAND BOTTOMS,7.14,2022-02-15,4
1584,MENS OWN BRAND BOTTOMS,7.14,2022-02-16,64
1584,MENS OWN BRAND BOTTOMS,7.14,2022-02-17,39
1584,MENS OWN BRAND BOTTOMS,7.14,2022-02-18,39
1584,MENS OWN BRAND BOTTOMS,7.14,2022-02-19,14
1584,MENS OWN BRAND BOTTOMS,7.14,2022-02-20,69
1584,MENS OWN BRAND BOTTOMS,7.14,2022-02-21,54
1584,MENS OWN BRAND BOTTOMS,7.14,2022-02-22,98
1584,MENS OWN BRAND BOTTOMS,7.14,2022-02-23,108
1584,MENS OWN BRAND BOTTOMS,7.14,2022-02-24,29
1584,MENS OWN BRAND BOTTOMS,7.14,2022-02-25,29
1584,MENS OWN BRAND BOTTOMS,7.14,2022-02-26,44
1584,MENS OWN BRAND BOTTOMS,7.14,2022-02-27,64
1584,MENS OWN BRAND BOTTOMS,33.04,2022-02-28,88
