department_desc,product_number,avg_elasticity,std_elasticity,months_elastic,avg_monthly_orders,total_orders,avg_discount,std_discount,dept_avg_elasticity,dept_std_elasticity,elastic_observations,num_elastic_products,total_dept_orders,dept_avg_discount,dept_std_discount,elasticity_vs_dept,discount_vs_dept
MENS BRANDED CLOTHING,40,2.7472529257249763,3.885201842033738,2,218.5,437,48.0,16.97056274847714,9.787767679273797,102.26643859865864,5433,1773,745309,18.607368949429787,13.822644443835195,-7.040514753548821,29.392631050570213
MENS BRANDED CLOTHING,41,2.8585959406247317,2.602058868750333,2,284.0,568,69.35483870967741,0.9123958466923286,9.787767679273797,102.26643859865864,5433,1773,745309,18.607368949429787,13.822644443835195,-6.929171738649066,50.747469760247625
MENS BRANDED CLOTHING,108,0.8565674963649653,1.18725958344178,3,48.333333333333336,145,31.268817204301076,14.916672237755641,9.787767679273797,102.26643859865864,5433,1773,745309,18.607368949429787,13.822644443835195,-8.931200182908832,12.661448254871289
MENS BRANDED CLOTHING,109,3.066666666666666,,1,4.0,4,28.0,,9.787767679273797,102.26643859865864,5433,1773,745309,18.607368949429787,13.822644443835195,-6.72110101260713,9.392631050570213
MENS BRANDED CLOTHING,111,0.15302279449726822,0.2164068277949219,2,84.5,169,15.474642857142854,9.5393755544788,9.787767679273797,102.26643859865864,5433,1773,745309,18.607368949429787,13.822644443835195,-9.634744884776529,-3.1327260922869336
MENS BRANDED CLOTHING,112,0.29343829022588663,0.4789704285114899,3,43.333333333333336,130,2.6152077066052226,3.6414092992014635,9.787767679273797,102.26643859865864,5433,1773,745309,18.607368949429787,13.822644443835195,-9.49432938904791,-15.992161242824565
MENS BRANDED CLOTHING,113,0.827802018196292,,1,358.0,358,1e-06,,9.787767679273797,102.26643859865864,5433,1773,745309,18.607368949429787,13.822644443835195,-8.959965661077504,-18.607367949429786
MENS BRANDED CLOTHING,114,0.18903090513118675,0.20407451104379218,2,20.0,40,3.9285719285714285,5.555838287930378,9.787767679273797,102.26643859865864,5433,1773,745309,18.607368949429787,13.822644443835195,-9.59873677414261,-14.678797020858358
MENS BRANDED CLOTHING,115,0.7536290660191736,,1,15.0,15,11.11,,9.787767679273797,102.26643859865864,5433,1773,745309,18.607368949429787,13.822644443835195,-9.034138613254623,-7.497368949429788
MENS BRANDED CLOTHING,116,5.166855451948964,6.282284721480004,2,27.0,54,37.13939285714285,3.0298010345026736,9.787767679273797,102.26643859865864,5433,1773,745309,18.607368949429787,13.822644443835195,-4.620912227324833,18.532023907713064
MENS BRANDED CLOTHING,117,0.3000000353714039,,1,35.0,35,1e-06,,9.787767679273797,102.26643859865864,5433,1773,745309,18.607368949429787,13.822644443835195,-9.487767643902393,-18.607367949429786
MENS BRANDED CLOTHING,118,1.4238113038271811,0.601788700903488,3,474.0,1422,16.34058004347826,23.102386237897665,9.787767679273797,102.26643859865864,5433,1773,745309,18.607368949429787,13.822644443835195,-8.363956375446616,-2.266788905951529
MENS BRANDED CLOTHING,123,0.29743147408240284,0.41613920484389016,2,1571.5,3143,4.624286214285713,6.53972686632423,9.787767679273797,102.26643859865864,5433,1773,745309,18.607368949429787,13.822644443835195,-9.490336205191394,-13.983082735144073
MENS BRANDED CLOTHING,127,8.629090909090916,,1,46.0,46,10.0,,9.787767679273797,102.26643859865864,5433,1773,745309,18.607368949429787,13.822644443835195,-1.1586767701828808,-8.607368949429787
MENS BRANDED CLOTHING,219,0.9422492823329129,1.3325415948198431,2,57.5,115,14.358064516129033,3.553781822866583,9.787767679273797,102.26643859865864,5433,1773,745309,18.607368949429787,13.822644443835195,-8.845518396940884,-4.249304433300754
MENS BRANDED CLOTHING,222,2.258789328631935,2.1345015211972775,4,20.0,80,9.341564816670006,7.262182189437452,9.787767679273797,102.26643859865864,5433,1773,745309,18.607368949429787,13.822644443835195,-7.528978350641862,-9.265804132759781
MENS BRANDED CLOTHING,224,1.059069690862091,1.0276916545212005,3,80.33333333333333,241,21.763440860215052,16.288927865345467,9.787767679273797,102.26643859865864,5433,1773,745309,18.607368949429787,13.822644443835195,-8.728697988411707,3.156071910785265
MENS BRANDED CLOTHING,225,0.5511382089372706,0.553197188568927,2,72.0,144,17.903225806451612,2.9652865017500387,9.787767679273797,102.26643859865864,5433,1773,745309,18.607368949429787,13.822644443835195,-9.236629470336526,-0.7041431429781753
MENS BRANDED CLOTHING,226,44.09867781224319,70.58641065209119,4,278.75,1115,30.27511545737327,20.249635577125673,9.787767679273797,102.26643859865864,5433,1773,745309,18.607368949429787,13.822644443835195,34.31091013296939,11.667746507943484
MENS BRANDED CLOTHING,227,3.289459135255748,3.202178913523434,5,8.0,40,15.496516329032257,10.683308768222231,9.787767679273797,102.26643859865864,5433,1773,745309,18.607368949429787,13.822644443835195,-6.498308544018049,-3.11085262039753
MENS BRANDED CLOTHING,228,4.102699782691994,3.379763533933117,5,41.8,209,29.98402457757296,15.034334212457836,9.787767679273797,102.26643859865864,5433,1773,745309,18.607368949429787,13.822644443835195,-5.685067896581803,11.376655628143173
MENS BRANDED CLOTHING,229,3.4249249998333995,3.3146381826499103,6,45.333333333333336,272,20.471326331541217,10.548586013294786,9.787767679273797,102.26643859865864,5433,1773,745309,18.607368949429787,13.822644443835195,-6.362842679440398,1.8639573821114297
