product_number,department_desc,elasticity
3275,MENS OWN BRAND BOTTOMS,2479.4277353411717
91,MENS OWN BRAND TOPS,1407.3473178274967
4355,MENS BRANDED CLOTHING,1230.9077654038272
244,MENS BRANDED CLOTHING,976.5617339158565
2489,MENS BRANDED FOOTWEAR,947.9145254471749
2426,MENS BRANDED CLOTHING,812.25
1778,MENS BRANDED CLOTHING,745.34989986027
1027,MENS OWN BRAND DENIM,727.5027052504627
2422,MENS BRANDED CLOTHING,725.4925373134535
4534,MENS BRANDED CLOTHING,710.4102127659263
2141,MENS OWN BRAND BOTTOMS,695.6417630919904
260,MENS OWN BRAND TOPS,685.3735987453965
3042,MENS BRANDED CLOTHING,607.452606758471
1746,MENS OWN BRAND FOOTWEAR,585.2931881398887
3928,MENS OWN BRAND BOTTOMS,482.9779571948953
3164,MENS OWN BRAND BOTTOMS,396.66854629525164
134,MENS OWN BRAND OUTERWEAR,396.1153250282095
2748,MENS OWN BRAND TOPS,386.8419435048047
3260,MENS OWN BRAND BOTTOMS,343.39285714285717
738,MENS BRANDED CLOTHING,308.0000000000011
836,MENS OWN BRAND KNITWEAR,303.281411248841
3912,MENS OWN BRAND TOPS,286.05166769769727
1010,MENS BRANDED CLOTHING,284.000000000001
1218,MENS BRANDED CLOTHING,273.6794815441263
1310,MENS OWN BRAND TOPS,267.1548931016291
487,MENS BRANDED CLOTHING,251.65040500736413
3670,MENS BRANDED CLOTHING,231.8141356596061
2421,MENS BRANDED CLOTHING,231.30362826991723
4459,MENS OWN BRAND BOTTOMS,224.23202885168197
3898,MENS OWN BRAND BOTTOMS,222.65998041278164
3572,MENS BRANDED CLOTHING,217.4999999999999
4433,MENS BRANDED CLOTHING,204.4594847252541
3485,MENS OWN BRAND FOOTWEAR,189.0688665710176
203,MENS OWN BRAND TOPS,188.54251571170104
1961,MENS BRANDED FOOTWEAR,187.50000000000114
747,MENS BRANDED CLOTHING,186.3786037628867
317,MENS OWN BRAND OUTERWEAR,175.3849809310844
4373,MENS BRANDED FOOTWEAR,170.45117845117866
1684,MENS OWN BRAND BOTTOMS,169.8100824390632
85,MENS OWN BRAND TOPS,166.19787100512008
4400,MENS BRANDED CLOTHING,165.32967032967002
3049,MENS BRANDED CLOTHING,162.2333333333333
3975,MENS OWN BRAND TOPS,160.6173781187644
1393,MENS OWN BRAND FOOTWEAR,154.61301888944442
4189,MENS BRANDED CLOTHING,151.5151515151516
4601,MENS BRANDED CLOTHING,142.0786371419651
2162,MENS BRANDED CLOTHING,137.07619193132902
1723,MENS OWN BRAND FOOTWEAR,135.28421052631552
3069,MENS BRANDED CLOTHING,130.22916666666669
1854,MENS BRANDED CLOTHING,128.44487180487218
3150,MENS BRANDED CLOTHING,128.26990791162407
3990,MENS OWN BRAND TOPS,125.71979433636899
1239,MENS BRANDED CLOTHING,125.45006701419318
616,MENS BRANDED CLOTHING,123.63975442607787
66,MENS OWN BRAND TOPS,122.92913469735718
4199,MENS BRANDED CLOTHING,114.35402298850622
251,MENS BRANDED CLOTHING,112.19434907635882
3849,MENS BRANDED FOOTWEAR,109.6034823684499
1674,MENS OWN BRAND TOPS,109.52183878681066
1898,MENS OWN BRAND KNITWEAR,109.4734079929729
373,MENS BRANDED CLOTHING,104.3826675074391
1793,MENS BRANDED CLOTHING,103.51923076923117
2481,MENS BRANDED CLOTHING,101.82190744866362
4316,MENS OWN BRAND TOPS,99.29824862637362
2604,MENS BRANDED CLOTHING,98.5676548090184
1787,MENS BRANDED CLOTHING,98.53742229975599
791,MENS OWN BRAND KNITWEAR,91.63326734413914
1676,MENS OWN BRAND BOTTOMS,90.15008920309697
312,MENS OWN BRAND FOOTWEAR,89.06746031745959
2386,MENS OWN BRAND FOOTWEAR,87.50377567102146
94,MENS OWN BRAND TOPS,86.94061982427621
2998,MENS BRANDED FOOTWEAR,84.4327634883539
674,MENS BRANDED FOOTWEAR,83.09470677290172
1131,MENS OWN BRAND DENIM,82.93786179943895
