date_of_order,orders,discount,is_holiday,is_weekend,is_summer,is_winter,discount_applied,discount_range,pct_change_discount,pct_change_orders,elasticity,elasticity_clipped,predicted_orders
2022-01-03,24.731810939989376,0.1829271608617849,0,3737,0,1,True,0-10%,0.0,0.0,0.0,0.0,24.992929969165
2022-01-17,45.28836962294211,0.1503389664992908,1,3305,0,1,True,0-10%,-0.1822250178895753,-0.3620974679283389,1.9870897647421968,1.9870897647421968,45.40540692932999
2022-01-24,55.78969729155602,0.1707196167873481,0,3598,0,1,True,0-10%,0.1355646560744015,0.2318769201904358,1.710452612834245,1.710452612834245,55.80180100440939
2022-01-31,66.17684545937334,0.1558140602206178,0,3671,0,1,True,0-10%,-0.0873101571291425,0.1861839850740585,-2.132443591856893,-2.132443591856893,66.05894097441777
2022-02-07,72.99734466277216,0.1769644754755667,0,3872,0,1,True,0-10%,0.1357413780566525,0.1030647374629847,0.7592728093564071,0.7592728093564071,72.99718194746282
2022-02-14,82.92511949017525,0.1965683374422615,0,4121,0,1,True,0-10%,0.1107785159366718,0.1360018624412531,1.2276916809302676,1.2276916809302676,82.69077410515371
2022-02-21,82.31279872543813,0.1791585932384755,1,4137,0,1,True,0-10%,-0.0885684054223625,-0.0073840202884443,0.0833708166386377,0.0833708166386377,82.07741732035963
2022-03-07,66.51832182687201,0.1380103019348954,0,4288,0,0,True,0-10%,-0.2182969186309393,-0.3344562641473341,1.5321162856759234,1.5321162856759234,66.43679088470734
2022-03-21,62.03770578863515,0.1738441450330662,0,3702,0,0,True,0-10%,0.2736597010913215,0.2242402012156779,0.8194125781817173,0.8194125781817173,62.09657379879535
2022-03-28,79.63197026022304,0.2196148586063332,0,3948,0,0,True,0-10%,0.2632859079870717,0.2836059820060437,1.0771787376480846,1.0771787376480846,79.52953998435278
2022-04-04,53.6542750929368,0.1848557286390857,0,3399,0,0,True,0-10%,-0.1582731249963115,-0.3262219317492181,2.061132815547937,2.061132815547937,53.5049910045564
2022-04-11,64.42326075411577,0.2037781809851591,0,3985,0,0,True,0-10%,0.1023633537644794,0.2007106729617642,1.960766871937052,1.960766871937052,64.604259047016
2022-04-18,62.580456718003184,0.1947579036048419,0,4166,0,0,True,0-10%,-0.0442651776392788,-0.0286046377432837,0.6462108426715379,0.6462108426715379,62.4638904286141
2022-04-25,60.44503451938396,0.1688433523040668,0,4182,0,0,True,0-10%,-0.1330603319357708,-0.0341228286051307,0.2564462910073157,0.2564462910073157,64.75640373972904
2022-05-02,67.5554965480616,0.1830916712957351,0,4365,0,0,True,0-10%,0.0843877996807884,0.1176351719411692,1.3939831632788713,1.3939831632788713,67.53214214564981
2022-05-09,64.91927774827403,0.2257962358551728,0,4441,0,0,True,0-10%,0.2332414372386166,-0.03902300974003,-0.1673073627140605,-0.1673073627140605,64.94784236115908
2022-05-16,62.52841210833776,0.1919977408064984,0,4411,0,0,True,0-10%,-0.1496858214693753,-0.0368282846461556,0.2460372284070366,0.2460372284070366,62.75028634246364
