product_number,discount,orders,day_of_week,month,is_weekend,quarter,is_summer,is_winter,department_desc_MENS OWN BRAND FOOTWEAR,department_desc_MENS OWN BRAND OUTERWEAR,Predictions
129,0.0,0.0,1,3,0,1,0,0,0,1,1.0
2399,7.83,5.0,6,6,1,2,1,0,1,0,0.0
1685,3.85,29.0,2,10,0,4,0,0,1,0,5.0
3758,20.0,0.0,3,7,0,3,1,0,1,0,0.0
2073,0.0,0.0,2,8,0,3,1,0,0,1,1.0
4116,34.45,0.0,5,3,1,1,0,0,0,0,0.0
129,37.37,0.0,0,5,0,2,0,0,0,1,0.0
2398,28.06,0.0,0,7,0,3,1,0,1,0,0.0
3324,40.0,0.0,4,9,0,3,0,0,0,0,1.0
4563,25.0,0.0,5,4,1,2,0,0,0,0,0.0
284,20.0,0.0,4,2,0,1,0,1,0,0,1.0
150,23.5,0.0,3,6,0,2,1,0,0,1,0.0
2380,4.76,0.0,0,7,0,3,1,0,1,0,0.0
140,26.67,8.0,4,1,0,1,0,1,0,1,3.0
4334,0.0,0.0,6,5,1,2,0,0,0,0,0.0
1384,68.85,0.0,5,1,1,1,0,1,1,0,0.0
2998,25.0,5.0,6,6,1,2,1,0,0,0,3.0
2497,20.0,0.0,1,7,0,3,1,0,0,0,0.0
2077,0.0,10.0,4,7,0,3,1,0,0,1,13.0
298,10.0,0.0,6,12,1,4,0,1,0,0,0.0
280,52.91,0.0,1,12,0,4,0,1,0,0,0.0
3444,50.0,41.0,5,11,1,4,0,0,0,1,44.0
704,30.0,11.0,2,2,0,1,0,1,1,0,20.0
3562,0.0,0.0,4,3,0,1,0,0,0,1,0.0
286,30.0,0.0,5,10,1,4,0,0,0,0,0.0
3769,48.28,0.0,1,5,0,2,0,0,1,0,3.0
4449,25.0,4.0,6,7,1,3,1,0,1,0,12.0
142,20.0,0.0,1,6,0,2,1,0,0,1,1.0
3314,48.335,10.0,0,12,0,4,0,1,1,0,18.0
2264,24.21,5.0,0,9,0,3,0,0,0,1,2.0
2570,20.0,0.0,5,7,1,3,1,0,1,0,0.0
2231,70.0,0.0,2,8,0,3,1,0,1,0,2.0
702,6.25,0.0,2,1,0,1,0,1,1,0,2.0
2051,3.45,0.0,4,6,0,2,1,0,0,0,0.0
3303,0.0,0.0,6,12,1,4,0,1,0,0,0.0
2357,5.26,0.0,1,2,0,1,0,1,0,0,0.0
280,30.0,0.0,3,2,0,1,0,1,0,0,0.0
384,17.81,0.0,3,11,0,4,0,0,1,0,0.0
700,20.0,0.0,5,6,1,2,1,0,1,0,0.0
3320,10.77,0.0,1,5,0,2,0,0,1,0,2.0
3403,21.48,4.0,4,12,0,4,0,1,1,0,1.0
4551,20.0,0.0,5,4,1,2,0,0,0,0,1.0
322,37.5,0.0,1,12,0,4,0,1,0,1,0.0
2400,70.0,0.0,1,5,0,2,0,0,1,0,1.0
1394,53.335,4.0,5,10,1,4,0,0,1,0,8.0
2352,30.77,0.0,1,6,0,2,1,0,1,0,2.0
4565,25.0,0.0,1,6,0,2,1,0,0,0,3.0
413,0.0,22.0,1,1,0,1,0,1,0,0,2.0
2251,20.0,0.0,1,9,0,3,0,0,0,0,1.0
3493,56.92,0.0,4,8,0,3,1,0,0,1,0.0
700,25.0,0.0,6,2,1,1,0,1,1,0,1.0
2397,22.67,0.0,5,3,1,1,0,0,1,0,1.0
1736,18.89,0.0,1,7,0,3,1,0,1,0,0.0
277,15.01,4.0,4,4,0,2,0,0,0,0,1.0
315,0.0,0.0,4,10,0,4,0,0,0,0,0.0
2484,0.0,0.0,5,2,1,1,0,1,0,0,2.0
1302,28.045,4.0,1,2,0,1,0,1,0,0,2.0
3399,10.89,5.0,5,3,1,1,0,0,0,0,0.0
302,48.86,8.0,0,12,0,4,0,1,0,1,4.0
2491,0.0,23.0,0,3,0,1,0,0,0,0,3.0
301,55.0,0.0,5,9,1,3,0,0,0,1,2.0
2258,33.33,0.0,6,8,1,3,1,0,0,1,7.0
3394,0.0,0.0,4,8,0,3,1,0,0,0,1.0
4116,34.45,0.0,4,4,0,2,0,0,0,0,0.0
2487,0.0,0.0,2,7,0,3,1,0,0,0,2.0
2565,11.125,0.0,6,6,1,2,1,0,1,0,0.0
4107,32.165,0.0,4,8,0,3,1,0,1,0,0.0
4569,0.0,0.0,0,9,0,3,0,0,0,0,2.0
691,6.67,5.0,4,1,0,1,0,1,1,0,0.0
1714,40.5,5.0,2,2,0,1,0,1,1,0,2.0
2569,20.0,0.0,3,10,0,4,0,0,1,0,0.0
2566,28.89,0.0,2,9,0,3,0,0,1,0,0.0
719,0.0,23.0,0,11,0,4,0,0,1,0,22.0
1580,0.0,0.0,6,5,1,2,0,0,0,0,1.0
1734,18.335,0.0,1,6,0,2,1,0,1,0,0.0
3479,26.630000000000003,4.0,3,8,0,3,1,0,0,0,2.0
3483,0.0,0.0,6,1,1,1,0,1,1,0,1.0
728,45.75,0.0,0,9,0,3,0,0,1,0,0.0
1426,0.0,8.0,1,3,0,1,0,0,1,0,8.0
2362,16.67,0.0,2,11,0,4,0,0,1,0,0.0
134,37.78,0.0,3,4,0,2,0,0,0,1,9.0
4646,0.0,0.0,3,7,0,3,1,0,0,0,0.0
3311,6.25,8.0,6,1,1,1,0,1,1,0,5.0
693,0.0,25.0,4,2,0,1,0,1,1,0,13.0
4332,14.55,0.0,6,7,1,3,1,0,0,0,0.0
3169,21.88,0.0,1,9,0,3,0,0,1,0,1.0
3009,0.0,0.0,2,1,0,1,0,1,0,0,2.0
3483,44.065,0.0,6,9,1,3,0,0,1,0,0.0
4333,7.69,0.0,0,9,0,3,0,0,0,0,0.0
2352,34.62,0.0,6,1,1,1,0,1,1,0,1.0
2303,15.73,0.0,6,2,1,1,0,1,0,0,1.0
269,0.0,5.0,6,11,1,4,0,0,0,0,2.0
1730,0.0,0.0,3,11,0,4,0,0,1,0,7.0
3493,56.92,0.0,5,4,1,2,0,0,0,1,0.0
1960,19.61,0.0,0,7,0,3,1,0,0,0,0.0
3751,29.0,0.0,3,1,0,1,0,1,1,0,1.0
2412,30.56,0.0,4,5,0,2,0,0,0,0,3.0
318,52.7,0.0,4,8,0,3,1,0,0,1,0.0
1804,0.0,0.0,2,9,0,3,0,0,0,0,2.0
2078,25.0,4.0,2,10,0,4,0,0,0,1,23.0
2052,0.0,0.0,1,8,0,3,1,0,0,0,1.0
2344,31.25,0.0,2,7,0,3,1,0,1,0,2.0
1385,16.77,0.0,4,10,0,4,0,0,1,0,0.0
1819,50.0,0.0,5,10,1,4,0,0,0,0,1.0
3492,20.0,0.0,5,2,1,1,0,1,0,1,0.0
3395,0.0,0.0,6,1,1,1,0,1,0,0,5.0
2233,0.0,0.0,0,1,0,1,0,1,0,0,2.0
1747,0.0,35.0,1,6,0,2,1,0,1,0,10.0
3098,0.0,0.0,6,7,1,3,1,0,0,0,0.0
2261,32.5,0.0,3,11,0,4,0,0,0,1,0.0
1727,34.12,0.0,6,2,1,1,0,1,1,0,1.0
137,60.0,0.0,0,10,0,4,0,0,0,1,0.0
2376,26.435000000000002,0.0,3,9,0,3,0,0,1,0,6.0
3170,20.0,0.0,5,10,1,4,0,0,1,0,0.0
725,42.31,25.0,4,2,0,1,0,1,1,0,18.0
2350,0.0,0.0,1,3,0,1,0,0,1,0,1.0
716,50.0,102.0,1,12,0,4,0,1,1,0,50.0
1895,1.67,8.0,6,3,1,1,0,0,0,1,0.0
