product_number,department_desc,discount,date_of_order,orders
23,MENS OWN BRAND BOTTOMS,72.31,2022-05-05,0
23,MENS OWN BRAND BOTTOMS,72.31,2022-05-06,0
23,MENS OWN BRAND BOTTOMS,72.31,2022-05-07,0
23,MENS OWN BRAND BOTTOMS,72.31,2022-05-08,0
23,MENS OWN BRAND BOTTOMS,72.31,2022-05-09,4
23,MENS OWN BRAND BOTTOMS,72.31,2022-05-25,0
23,MENS OWN BRAND BOTTOMS,72.31,2022-05-26,0
23,MENS OWN BRAND BOTTOMS,72.31,2022-05-27,0
23,MENS OWN BRAND BOTTOMS,72.31,2022-05-28,0
23,MENS OWN BRAND BOTTOMS,72.31,2022-05-29,4
23,MENS OWN BRAND BOTTOMS,72.31,2022-06-10,4
37,MENS OWN BRAND BOTTOMS,71.76,2022-05-04,10
37,MENS OWN BRAND BOTTOMS,71.76,2022-05-05,10
37,MENS OWN BRAND BOTTOMS,71.76,2022-05-06,5
37,MENS OWN BRAND BOTTOMS,71.76,2022-05-07,10
37,MENS OWN BRAND BOTTOMS,71.76,2022-05-08,10
37,MENS OWN BRAND BOTTOMS,71.76,2022-05-09,27
37,MENS OWN BRAND BOTTOMS,71.76,2022-05-10,16
37,MENS OWN BRAND BOTTOMS,71.76,2022-05-11,16
37,MENS OWN BRAND BOTTOMS,71.76,2022-05-12,0
37,MENS OWN BRAND BOTTOMS,71.76,2022-05-13,0
37,MENS OWN BRAND BOTTOMS,71.76,2022-05-14,10
37,MENS OWN BRAND BOTTOMS,71.76,2022-05-15,16
37,MENS OWN BRAND BOTTOMS,71.76,2022-05-16,0
37,MENS OWN BRAND BOTTOMS,71.76,2022-05-17,0
37,MENS OWN BRAND BOTTOMS,80.0,2022-08-25,5
37,MENS OWN BRAND BOTTOMS,80.0,2022-08-30,5
44,MENS OWN BRAND BOTTOMS,80.0,2022-08-24,39
44,MENS OWN BRAND BOTTOMS,80.0,2022-08-25,22
51,MENS OWN BRAND BOTTOMS,75.81,2022-07-23,24
51,MENS OWN BRAND BOTTOMS,75.81,2022-07-24,85
51,MENS OWN BRAND BOTTOMS,75.81,2022-07-25,32
51,MENS OWN BRAND BOTTOMS,75.81,2022-07-27,64
51,MENS OWN BRAND BOTTOMS,75.81,2022-07-28,28
51,MENS OWN BRAND BOTTOMS,75.81,2022-08-11,8
51,MENS OWN BRAND BOTTOMS,75.81,2022-08-12,24
51,MENS OWN BRAND BOTTOMS,75.81,2022-08-13,8
51,MENS OWN BRAND BOTTOMS,75.81,2022-08-14,4
51,MENS OWN BRAND BOTTOMS,75.81,2022-08-15,8
51,MENS OWN BRAND BOTTOMS,75.81,2022-08-17,0
51,MENS OWN BRAND BOTTOMS,75.81,2022-08-18,12
51,MENS OWN BRAND BOTTOMS,75.81,2022-08-19,8
51,MENS OWN BRAND BOTTOMS,75.81,2022-08-23,4
51,MENS OWN BRAND BOTTOMS,75.81,2022-08-27,4
51,MENS OWN BRAND BOTTOMS,75.81,2022-09-01,4
51,MENS OWN BRAND BOTTOMS,75.81,2022-09-02,4
51,MENS OWN BRAND BOTTOMS,75.81,2022-09-03,0
51,MENS OWN BRAND BOTTOMS,75.81,2022-09-04,0
51,MENS OWN BRAND BOTTOMS,75.81,2022-09-05,4
51,MENS OWN BRAND BOTTOMS,75.81,2022-10-06,0
51,MENS OWN BRAND BOTTOMS,75.81,2022-10-07,0
