product_number,department_desc,elasticity
3468,MENS OWN BRAND BOTTOMS,2732.2269726155737
3385,MENS BRANDED CLOTHING,1167.2065108445722
1429,MENS BRANDED CLOTHING,487.936752136728
276,MENS BRANDED FOOTWEAR,420.9288745842488
317,MENS OWN BRAND OUTERWEAR,386.88888888888414
4534,MENS BRANDED CLOTHING,324.6524178435557
774,MENS OWN BRAND KNITWEAR,315.2846262550222
3177,MENS BRANDED CLOTHING,283.0104166712282
1687,MENS BRANDED FOOTWEAR,244.2881355932128
2341,MENS OWN BRAND TOPS,241.01497891128668
2492,MENS BRANDED FOOTWEAR,236.48198688857772
4275,MENS OWN BRAND TOPS,220.4290018973075
275,MENS BRANDED FOOTWEAR,196.76985860103738
650,MENS BRANDED CLOTHING,193.3928703703701
1778,MENS BRANDED CLOTHING,177.83514102377333
658,MENS BRANDED CLOTHING,155.32843138921024
3175,MENS BRANDED CLOTHING,146.9166666666692
1425,MENS OWN BRAND FOOTWEAR,115.81512237761933
3768,MENS OWN BRAND FOOTWEAR,112.34416277036125
2979,MENS BRANDED CLOTHING,107.99999999999952
1332,MENS OWN BRAND TOPS,107.18393296287618
726,MENS OWN BRAND FOOTWEAR,104.8573382501839
775,MENS OWN BRAND KNITWEAR,89.72084203220089
1349,MENS OWN BRAND BOTTOMS,88.19422857113474
3256,MENS OWN BRAND BOTTOMS,83.78360850471739
3194,MENS BRANDED CLOTHING,82.28106441432043
2402,MENS OWN BRAND FOOTWEAR,81.8620041207858
397,MENS BRANDED CLOTHING,81.31226079753587
1644,MENS OWN BRAND BOTTOMS,77.19047619047608
2365,MENS OWN BRAND FOOTWEAR,76.96536025336523
3262,MENS OWN BRAND BOTTOMS,70.92307692307651
106,MENS OWN BRAND OUTERWEAR,67.69823983849118
1743,MENS OWN BRAND FOOTWEAR,65.09850275807727
3709,MENS OWN BRAND DENIM,62.502768623325906
1422,MENS OWN BRAND FOOTWEAR,59.82717911673302
4114,MENS BRANDED FOOTWEAR,59.70593869731601
2899,MENS OWN BRAND FOOTWEAR,58.42366050260787
1027,MENS OWN BRAND DENIM,57.982386410761855
3565,MENS OWN BRAND BOTTOMS,56.53451572253221
3756,MENS OWN BRAND FOOTWEAR,55.61600378787937
